Augmentation Type,Original Sentence,Augmented Sentence
Synonym Replacement,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel <e1> reservoir </e1> be occupy with <e2> N2 </e2> , and the atmospheric_pressure in the outer volume of the chamber was keep steady ."
Synonym Replacement,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel <e1> container </e1> was filled with <e2> compressed_nitrogen </e2> , and the pressure in the outer volume of the chamber was observe steady ."
Synonym Replacement,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless_steel steel <e1> tank </e1> cost filled with <e2> N2 </e2> , and the pressure in the outer volume of the chamber cost kept regular ."
Synonym Replacement,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel <e1> tank </e1> exist fill with <e2> N2 </e2> , and the imperativeness in the outer volume of the bedroom was keep_open steady ."
Synonym Replacement,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless_steel steel <e1> tank </e1> be fill with <e2> N2 </e2> , and the pressure in the outer volume of the chamber be prevent steady ."
Synonym Replacement,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel <e1> reservoir </e1> was filled with <e2> compressed_nitrogen </e2> , and the atmospheric_pressure in the outer volume of the chamber be keep steady ."
Synonym Replacement,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless_steel steel <e1> container </e1> was filled with <e2> liquid_nitrogen </e2> , and the pressure in the outer volume of the chamber was kept regular ."
Synonym Replacement,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless_steel steel <e1> reservoir </e1> be filled with <e2> liquid_nitrogen </e2> , and the imperativeness in the outer volume of the chamber was keep regular ."
Synonym Replacement,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless_steel steel <e1> cylinder </e1> was fill with <e2> liquid_nitrogen </e2> , and the pressure indium the outer book of the chamber be kept steady ."
Synonym Replacement,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless_steel steel <e1> reservoir </e1> was fill with <e2> compressed_nitrogen </e2> , and the pressure in the outer volume of the chamber was keep steady ."
